,Feature,Ranking
0,bedrooms,155
1,bathrooms,82
2,sqft_living,65
3,sqft_lot,324
4,floors,154
5,waterfront,91
6,view,92
7,condition,84
8,grade,79
9,sqft_above,63
10,sqft_basement,64
11,yr_built,189
12,yr_renovated,202
13,zipcode,171
14,lat,1
15,long,62
16,sqft_living15,205
17,sqft_lot15,285
18,bedrooms X bathrooms,145
19,bedrooms X sqft_living,31
20,bedrooms X sqft_lot,94
21,bedrooms X floors,25
22,bedrooms X waterfront,29
23,bedrooms X view,43
24,bedrooms X condition,54
25,bedrooms X grade,44
26,bedrooms X sqft_above,22
27,bedrooms X sqft_basement,34
28,bedrooms X yr_built,28
29,bedrooms X yr_renovated,12
30,bedrooms X zipcode,30
31,bedrooms X lat,58
32,bedrooms X long,121
33,bedrooms X sqft_living15,9
34,bedrooms X sqft_lot15,15
35,bathrooms X bedrooms,133
36,bathrooms X sqft_living,130
37,bathrooms X sqft_lot,126
38,bathrooms X floors,83
39,bathrooms X waterfront,139
40,bathrooms X view,98
41,bathrooms X condition,132
42,bathrooms X grade,106
43,bathrooms X sqft_above,135
44,bathrooms X sqft_basement,127
45,bathrooms X yr_built,123
46,bathrooms X yr_renovated,112
47,bathrooms X zipcode,101
48,bathrooms X lat,104
49,bathrooms X long,137
50,bathrooms X sqft_living15,115
51,bathrooms X sqft_lot15,118
52,sqft_living X bedrooms,295
53,sqft_living X bathrooms,289
54,sqft_living X sqft_lot,287
55,sqft_living X floors,233
56,sqft_living X waterfront,251
57,sqft_living X view,247
58,sqft_living X condition,267
59,sqft_living X grade,239
60,sqft_living X sqft_above,265
61,sqft_living X sqft_basement,232
62,sqft_living X yr_built,236
63,sqft_living X yr_renovated,260
64,sqft_living X zipcode,241
65,sqft_living X lat,240
66,sqft_living X long,252
67,sqft_living X sqft_living15,244
68,sqft_living X sqft_lot15,238
69,sqft_lot X bedrooms,8
70,sqft_lot X bathrooms,20
71,sqft_lot X sqft_living,19
72,sqft_lot X floors,17
73,sqft_lot X waterfront,38
74,sqft_lot X view,14
75,sqft_lot X condition,122
76,sqft_lot X grade,16
77,sqft_lot X sqft_above,21
78,sqft_lot X sqft_basement,18
79,sqft_lot X yr_built,49
80,sqft_lot X yr_renovated,13
81,sqft_lot X zipcode,7
82,sqft_lot X lat,51
83,sqft_lot X long,55
84,sqft_lot X sqft_living15,10
85,sqft_lot X sqft_lot15,11
86,floors X bedrooms,186
87,floors X bathrooms,177
88,floors X sqft_living,180
89,floors X sqft_lot,170
90,floors X waterfront,169
91,floors X view,182
92,floors X condition,184
93,floors X grade,183
94,floors X sqft_above,185
95,floors X sqft_basement,187
96,floors X yr_built,168
97,floors X yr_renovated,161
98,floors X zipcode,173
99,floors X lat,149
100,floors X long,167
101,floors X sqft_living15,194
102,floors X sqft_lot15,179
103,waterfront X bedrooms,87
104,waterfront X bathrooms,81
105,waterfront X sqft_living,80
106,waterfront X sqft_lot,76
107,waterfront X floors,86
108,waterfront X view,89
109,waterfront X condition,85
110,waterfront X grade,90
111,waterfront X sqft_above,75
112,waterfront X sqft_basement,78
113,waterfront X yr_built,74
114,waterfront X yr_renovated,77
115,waterfront X zipcode,48
116,waterfront X lat,4
117,waterfront X long,35
118,waterfront X sqft_living15,40
119,waterfront X sqft_lot15,71
120,view X bedrooms,157
121,view X bathrooms,109
122,view X sqft_living,136
123,view X sqft_lot,159
124,view X floors,158
125,view X waterfront,181
126,view X condition,162
127,view X grade,188
128,view X sqft_above,151
129,view X sqft_basement,176
130,view X yr_built,174
131,view X yr_renovated,143
132,view X zipcode,163
133,view X lat,200
