,0
0,-626362709880223.4
1,-626362693171827.4
2,-14977483102915.906
3,-1243006381535830.0
4,-312705276672734.0
5,-240423786317137.28
6,-1.7614804052608202e+16
7,-613695135494534.6
8,-268246341313960.56
9,-184411065928156.38
10,-95897078200361.55
11,-859104274319833.1
12,-75769367127198.06
13,-156588880031572.34
14,-315669539291563.4
15,-118385333711353.64
16,-143257944273892.94
17,-123182511139511.05
18,-497010192795399.0
19,-203319493004252.75
20,-312652816011180.8
21,-4123992270877.5425
22,-4878205186504019.0
23,-69818618482907.52
24,-173127963497628.25
25,-380233936059797.7
26,-206410955464340.38
27,-52032619979437.23
28,-84333554254889.92
29,-6.426057616899974e+18
30,-1691852865647290.2
31,-78831002967329.62
32,-9908210160150148.0
33,-488391068074803.94
34,-1302409977147669.2
35,-126083560475983.17
36,-197650758894333.2
37,-94521486552626.16
38,-1327210203066078.0
39,-366773471401500.3
40,-232075321890432.2
41,-161225166798239.94
42,-157817349382221.25
43,-13724316339801.475
44,-7222116325114624.0
45,-27264692437061.6
46,-1344066042522054.5
47,-9044983871425076.0
48,-60348243456313.51
49,-322491833513212.7
50,-428711657680617.8
51,-37112869356998.06
52,-61372160875044.805
53,-440593681904502.25
54,-4405976511606253.5
55,-73429614414526.05
56,-143820958152868.53
57,-245450522536774.47
58,-812804078495946.2
59,-1.1906207291696666e+18
60,-122442285316236.08
61,-75758299770145.62
62,-200084050205744.6
63,-1390250303018212.5
64,-918904384139406.6
65,-981435141798312.5
66,-1.0893911467417354e+16
67,-245521027946319.6
68,-43497579368016.625
69,-266735279464331.38
70,-75759450418998.03
71,-35849799480579.22
72,-1050045892171873.5
73,-567365447778895.1
74,-91629412489887.53
75,-118375760461238.44
76,-571578617164306.5
77,-1635232759815881.8
78,-334166186926617.1
79,-44334021451609.375
80,-947091575610304.9
81,-214926309282630.0
82,-704482781398364.5
83,-902613313072198.4
84,-75585127656295.5
85,-3.061659014547921e+16
86,-245504316086713.97
87,-15641843706516.105
88,-466080197613305.44
89,-132482873350807.25
90,-187961858926836.8
91,-368183171286520.9
92,-368183154578124.9
93,-123229142551746.14
94,-12882133256613.188
95,-78816792719808.52
96,-3.187145268331753e+16
97,-177790974080980.44
98,-6311011639370.435
99,-437382549792871.2
100,-266410672977160.1
101,-392542294719125.5
102,-112556644814542.14
103,-4965583214088631.0
104,-450240155089980.94
105,-153910444385007.28
106,-42610609414140.66
107,-75762866817379.77
108,-283656305844545.9
109,-392208993788209.9
110,-5868515777656713.0
111,-170463672041326.66
112,-95885850093715.52
113,-4068332376509190.5
114,-400701595381922.4
115,-496631821499643.8
116,-71966559993471.55
117,-1895434799281191.0
118,-11914457489875.334
119,-436495756847469.3
120,-933078913998718.9
121,-469168872678155.8
122,-1894689585004665.8
123,-610779650250297.0
124,-2.8689232838051853e+17
125,-32626286956410.293
126,-120207264701707.4
127,-132903978779057.98
128,-153878370989757.6
129,-536090369593292.1
130,-209445536670426.47
131,-376342510343911.5
132,-393924579655428.9
133,-324762144457846.94
134,-327527530964719.6
135,-55376681801197.586
136,-1117105706279861.5
137,-596666034839135.5
138,-909843815437963.5
139,-416259263053289.3
140,-42377781066867.81
141,-289535188539941.8
142,-368183493336624.8
143,-358634755568219.56
144,-2855947360380.009
145,-4465681399132.777
146,-586715688083277.4
147,-245514497916452.34
148,-85101112195748.64
149,-428880594292237.6
150,-168783989658102.72
151,-77210798556825.22
152,-560529698772048.56
153,-124518005215054.75
154,-143248165291172.62
155,-347029197256537.1
156,-41796593053769.336
157,-118398923586679.6
158,-414046854119514.44
