,y_hat
0,593052.1760687937
1,606854.3288909453
2,412335.3270233383
3,338758.3553400113
4,514356.6475876042
5,751378.6176971124
6,371799.91596330714
7,353113.52560888673
8,467918.1839560491
9,292286.77690304955
10,891556.7579073105
11,527941.1545282172
12,572857.2893644411
13,437711.16800497426
14,378443.0773336576
15,875521.5530368418
16,1032172.2956728819
17,605940.1184916452
18,610845.5753276043
19,152454.3696121225
20,611260.103302445
21,462129.31172759266
22,1454111.66515204
23,177402.25117493034
24,299597.1032079151
25,272184.0663554968
26,581884.254137171
27,473438.8808780191
28,477172.93877700204
29,215502.71179551358
30,509786.7733628613
31,528944.3572070119
32,473502.4203742492
33,440532.7938258145
34,1677884.9969516601
35,934805.5915410318
36,168741.8080785246
37,605979.5633052593
38,1412007.6988212136
39,175760.29377250298
40,388219.9700002667
41,461783.81276612764
42,404802.6806759051
43,449153.3027872415
44,397460.3892242811
45,553061.0456217052
46,867226.5048717901
47,569027.7609357501
48,705789.9160083213
49,447524.8150975723
50,258038.58412495485
51,1196105.1659807647
52,774820.40246816
53,223952.25400952733
54,679798.0396523271
55,384761.9329257989
56,399631.76052689133
57,837266.6532745501
58,162387.77665638074
59,586029.4256679789
60,562833.2066946627
61,478685.52070078405
62,379567.07888080436
63,1134213.5270938608
64,527792.8750042431
65,384257.0719665848
66,915775.9983165526
67,468247.50002545316
68,436398.6512144809
69,634133.4824575612
70,943246.4231661927
71,485473.92234454956
72,972942.6724521932
73,284478.5633703645
74,396506.416202744
75,922725.6786398721
76,731365.4110111161
77,201466.64307736274
78,237247.34100695822
79,407870.00982611463
80,406452.64940606925
81,667703.4058741264
82,515754.1803033276
83,824361.9046961963
84,1015482.6740560589
85,306549.4228301298
86,715240.7847840918
87,459397.0723985878
88,110955.25652540918
89,473274.4300352255
90,304615.5606933511
91,387560.7292431351
92,407361.1673709858
93,497982.9662829223
94,362686.6127519482
95,753773.7648680012
96,361676.6775147798
97,344529.38973179803
98,528656.892949319
99,598683.0112742751
100,400485.55176521983
101,705594.3339826008
102,151343.58922795038
103,408009.60466162616
104,201027.21078620013
105,381005.2169814533
106,822081.3232630969
107,582371.6606843397
108,253203.19173175056
109,201138.39608194318
110,642210.3860192023
111,2009109.6838847748
112,930535.2520991683
113,246360.9714476092
114,368805.3770813728
115,386129.834341637
116,459945.1619344789
117,1823734.527148567
118,591683.4172635188
119,152356.86252544748
120,379512.53569355066
121,840965.4189427131
122,1814456.058802219
123,660453.3053942814
124,712347.2667579952
125,306406.0187613388
126,237113.67383424644
127,495812.4999009543
128,301758.55282135407
129,132116.74653514463
130,446796.4326210103
131,144809.84354782262
132,291297.51813957596
133,628521.7336224796
134,205928.87951686775
135,638766.769819725
136,720043.3816279453
137,333907.2536219101
138,282719.950018102
139,540768.5675457543
140,302592.7725831408
141,596459.7317115471
142,165412.96491364177
143,433392.82547516236
144,759524.3964916496
145,363000.01543335104
146,223522.30794141107
147,587109.7582951679
148,284979.8530026064
149,254139.71456238313
150,314514.49228024937
151,475993.651345396
152,566179.218077675
153,611120.212407985
154,819965.9770272153
155,588776.444422078
156,565171.2443996128
157,538664.4479046542
158,281040.40397115116
159,504314.0148845529
160,650633.062416367
161,319422.53008953016
162,267558.03487149376
163,658559.1905035103
164,402776.85707823443
165,514944.46865374886
166,527583.497092648
167,346580.16399149597
168,309811.9453115349
169,1641915.9679097182
170,199111.3034262868
171,433136.6978548792
172,452332.97162751755
173,480712.1061991444
174,434986.994051604
175,676172.5151876932
176,452448.7700241043
177,319303.1387136892
178,278746.46459758875
179,116034.41129245286
180,1800684.3365435954
181,753740.9895189309
182,1004668.8293453946
183,662954.3122233865
184,995685.6663032062
185,703710.8716152306
186,427437.0591652395
187,241970.71744482324
188,552066.114372835
189,365275.7189504808
190,374773.56245460187
191,514516.1534207192
192,316261.69652851427
193,325190.79079191305
194,350710.0034427232
195,373676.5820147661
196,468997.96575279965
197,609027.0365489882
198,495011.358961591
199,347297.2492772102
200,232612.5786108542
201,370476.838039632
202,426791.26325491763
203,917588.0146944788
204,878426.6178135298
205,264770.41400587594
206,246636.61664586863
207,376964.47812063934
208,802630.0525399995
209,239160.08531019013
210,203151.72788348194
211,514283.47129097045
212,496814.917751797
213,207737.744186002
214,237476.36682666477
215,711809.0013487968
216,187671.06906932825
217,610660.0193697595
218,1357358.8786497854
219,279260.9562392401
220,261654.4196459354
221,713317.9329881028
222,391834.61821575486
223,1272935.7915850086
224,596436.7315935255
225,378560.3721382343
226,764071.707474538
227,423075.7516416669
228,218588.1211727429
229,667246.6635571161
230,533319.7700858831
231,1002002.235552741
232,746651.9713348945
233,137593.24534203426
234,358158.58010732953
235,497799.1611044371
236,593712.7008634661
237,613564.7743248625
238,45784.464346483466
239,374312.5019978817
240,631342.8652705646
241,243826.641099631
242,627986.7540750548
243,206349.93967748762
244,291369.65709141083
245,363750.8251880568
246,139792.92926476814
247,491211.5097752105
248,797537.0553953391
249,570091.8842983306
250,491168.06223157037
251,735559.3337571548
252,253205.89376047318
253,400541.94898369577
254,362200.5867586607
255,469571.95825583197
256,428319.25921108254
257,361015.6373676265
258,482026.2753658978
259,305846.05958047183
260,435222.22184311395
261,812707.0046737571
262,536430.4737079575
263,624741.9093790769
264,261998.787785395
265,492338.52458869945
266,441880.8443000411
267,298919.8428314915
268,2839175.809333366
269,304360.92816542665
270,1046625.399315597
271,1118319.7853561896
272,139518.078408739
273,562903.935117857
274,631695.3430024304
275,468620.08836982574
276,1046019.1970303981
277,286337.653908276
278,497533.83138053044
279,1007275.6838482814
280,780496.955704869
281,499927.5920540218
282,263116.4960716296
283,272257.5102033899
284,649254.2187253236
285,808866.7178072718
286,620040.7398375985
287,507662.2738124954
288,312137.04502518126
289,447044.41903887683
290,149780.34220512753
291,140488.2312251124
292,719178.8625882205
293,285561.6469366479
294,491245.9532971985
295,721042.3037073208
296,819335.0185060509
297,397844.61628113093
298,875623.5727469091
299,492132.48820857913
300,453625.39330934535
301,422079.8055928408
302,430300.25969041564
303,831103.9587239935
304,953364.7123018724
305,411736.43164761696
306,1074873.5371368905
307,525962.5484602489
308,180334.13555605483
309,233479.77567624376
310,1405203.0429539138
311,1027777.1909529668
312,174694.73577594888
313,198772.29035362657
314,216264.3528696871
315,130267.59221921951
316,552818.7326996262
317,372889.72983210144
318,1002941.3138441137
319,414600.57657252904
320,132938.55481452664
321,311783.4786149139
322,619257.2001220281
323,236805.2266372468
324,181296.47614020747
325,244915.12427590357
326,431906.41063176806
327,252083.4683865683
328,436380.69365953305
329,453500.19372983085
330,417552.8288466546
331,387496.0038142832
332,613933.3363978295
333,200547.56124434317
334,348630.553340513
335,679411.5916750412
336,908706.3444357377
337,392243.20159177517
338,245606.7534973255
339,1034807.4303415813
340,702905.2404038089
341,342827.6300379377
342,852407.3313952103
343,600585.187315818
344,455310.11756093113
345,319422.0018887778
346,378814.7192187626
347,537218.4447671684
348,780543.4584398103
349,385187.3906271494
350,817071.9076496351
351,468929.98371484526
352,521315.7403707771
353,600047.8325118389
354,229028.4130756536
355,204699.39539207792
356,617565.849597824
357,1615777.157920415
358,896068.717303181
359,1021541.4268114271
360,473127.11175043613
361,204326.17119544707
362,401212.4870949775
363,556112.9756068471
364,599252.6986920208
365,689836.38939206
366,633571.7491145881
367,1280925.2231037514
368,269098.0241335344
369,106530.43384687149
370,710001.1462558233
371,266886.7942823081
372,413341.9446080172
373,574767.0931248898
374,234808.20007505346
375,765228.5425510912
376,883386.6824999435
377,522420.45928470854
378,541941.55365647
379,452918.88533983746
380,665419.2330664254
381,479928.3564933995
382,651636.8575325185
383,174168.62071982498
384,590053.8725825154
385,400326.2948382799
386,492317.14244600554
387,711079.4981152342
388,784351.5939901175
389,1569399.3693637284
390,326499.61671632883
391,955664.2780003763
392,517981.86172034824
393,621550.8038993864
394,271253.27672654786
395,389119.7305035193
396,592174.4176067875
397,461843.97504951234
398,579166.0602522993
399,665826.6372888022
400,1124541.5246616786
401,421912.00619229
402,616663.3530441476
403,288292.34091982443
404,243732.88834801593
405,253529.8737380233
406,695707.1254255068
407,409895.76031904516
408,325740.06096758944
409,478834.2097474169
410,405210.56115757884
411,364757.87600176746
412,576733.669317777
