,y_hat
0,591098.882304776
1,606920.213405736
2,412814.05807860976
3,336156.8749698581
4,507728.80855950154
5,750417.6983775292
6,366909.0135642749
7,356546.0313223819
8,463571.73923308536
9,287537.6283631531
10,895872.7832151146
11,532859.8995824244
12,579311.4086876188
13,427013.9868069671
14,380256.99456634524
15,869774.4151952675
16,1015173.5433138387
17,547820.5103928728
18,611300.3664190026
19,150859.38721650853
20,608101.178771866
21,459053.73915449367
22,1469792.2247052938
23,179347.12090453872
24,298684.7058480046
25,276241.52520873526
26,583219.8057147774
27,479852.4037948388
28,477260.78354286007
29,229257.12692618553
30,510937.85121701506
31,573324.3371171232
32,481933.1866768737
33,438602.51520133833
34,1669741.524360246
35,942106.8792275212
36,170755.50265004724
37,606611.5919893006
38,1419829.7693957938
39,178858.82333100488
40,393954.34676528396
41,457990.18170899723
42,403580.3689474962
43,445175.1970770362
44,397796.5165304532
45,570703.9834220785
46,864880.2823895054
47,564276.5745163251
48,720590.6403520165
49,445767.0663264806
50,250718.05087526992
51,1153150.0730795658
52,784423.6848176138
53,222172.1126881975
54,676628.182767724
55,383511.12925865554
56,399330.93887866486
57,831291.5458439374
58,162008.1220298487
59,600916.7158226958
60,557810.6268002873
61,480569.00718288025
62,376895.1017461658
63,1123310.2336221095
64,526465.739778635
65,395777.3215058331
66,923090.9980832117
67,469591.3866897712
68,444765.7301208125
69,631101.538115222
70,954558.374897303
71,486281.29438181827
72,970201.5259753331
73,291117.7005020054
74,399517.9961541584
75,948324.5691952656
76,741016.8539225751
77,202364.45476937297
78,229715.80478466547
79,411383.8971558258
80,403886.7336577164
81,663152.5283826727
82,518495.4448907595
83,815493.3128680583
84,1002738.4161202083
85,303342.6061678206
86,715867.7599529284
87,461394.8580374033
88,114860.78314097226
89,482373.01279208355
90,305216.8875804029
91,390640.233034636
92,409079.93470320315
93,514683.8848949322
94,358554.817409695
95,747740.9018766341
96,375989.7563566116
97,345607.9978107832
98,527957.8300444022
99,600032.6408624783
100,402867.74669674446
101,714969.222369873
102,152808.71581253118
103,416131.2277602357
104,187363.85953753037
105,380748.04965067876
106,839191.6820753319
107,580309.1586319976
108,251599.47913875265
109,196219.30004672913
110,634196.7877760734
111,1996352.539199343
112,933215.7284711115
113,238349.01624527108
114,362228.2911602491
115,392913.4965336475
116,467253.1310358446
117,1823787.7657717895
118,590242.1700378931
119,146317.70246215357
120,378781.53521869105
121,841594.2277818106
122,1767804.035848631
123,667210.7366744257
124,726466.0120536693
125,304566.25141550694
126,239470.79353541232
127,517375.3281508478
128,302977.8616445088
129,127780.82236027421
130,444997.07316486654
131,142709.73923055525
132,308111.32672162144
133,627783.0155510869
134,202025.70318609453
135,640163.9969781511
136,714013.7243741082
137,330146.93506213673
138,279832.86325589777
139,539768.3192688898
140,299875.40214093676
141,587042.8906115964
142,164394.12495635307
143,432725.5343176545
144,757808.9530481112
145,364477.50116321276
146,222807.97357483784
147,589442.4428530146
148,279997.47510797397
149,248309.9450728156
150,323945.7057972805
151,476574.747012672
152,572197.9490866365
153,610390.6842328655
154,803705.969453197
155,607232.0303842351
156,561228.7726715081
157,540924.6890384068
158,282116.4017576226
159,539393.1838478317
160,655301.1310393008
161,311426.7918199615
162,271473.3920749833
163,655833.852619225
164,408791.4396964471
165,507063.1983970018
166,533907.4115062667
167,342983.4981128588
168,320579.2020465375
169,1621281.998825083
170,198861.00178267312
171,433701.212131731
172,447647.5130062161
173,481504.92031287996
174,432552.0182250673
175,674484.5726200095
176,452983.1620355598
177,318216.74612070253
178,280977.6764182785
179,147975.81816028763
180,1792484.9388505314
181,815608.2907539774
182,1006267.7821722318
183,667444.3949354601
184,1000997.6591309735
185,706046.0091495083
186,426713.5042396906
187,246600.0032850825
188,552581.1108376335
189,373371.0492146998
190,374602.7174208862
191,514889.5001933273
192,316996.22292542213
193,326957.01928747754
194,351112.83875740966
195,387434.28538942186
196,475926.6385452588
197,602653.5194609496
198,501676.70856516686
199,348301.5253839903
200,229101.64759038127
201,367935.6250255396
202,408894.9130875209
203,921234.1836385331
204,879263.5260073488
205,259680.97069156673
206,249083.21655774635
207,384940.2268475916
208,798071.2478786674
209,237511.93178528897
210,199998.90528347922
211,514010.7896359845
212,496950.74884470773
213,212182.46027001087
214,232640.99260055815
215,708478.5878875114
216,183538.6972572022
217,612306.6010683596
218,1357372.6072399397
219,276429.69270220556
220,258062.3176088398
221,712911.8638695194
222,390101.4423745306
223,1246829.2960001337
224,598386.3210502662
225,384094.3833332644
226,761516.5968409948
227,423515.5662098915
228,216582.63748994496
229,671033.6858160412
230,518676.98738820484
231,1010513.1592919651
232,755350.1121353812
233,131438.91069626046
234,354715.5580958495
235,497562.34947171836
236,595433.5045409154
237,619289.0371634716
238,52124.945894014556
239,373095.34439163073
240,625221.1573044445
241,247220.61160499224
242,625232.6944641395
243,204624.43997487042
244,291986.66638691805
245,361173.77092288854
246,141841.37343339878
247,490870.99927917676
248,802626.4054711328
249,566738.9198369192
250,443785.0842510285
251,736869.3451887015
252,248756.33876911743
253,429414.9575910291
254,362432.52386470383
255,467512.78813753993
256,424952.40761449916
257,366145.4278969135
258,464551.3390491615
259,307253.2637838543
260,432702.2528672486
261,820669.3099086882
262,533507.005773706
263,623531.7988832844
264,263665.8108443697
265,494096.52418506495
266,438042.3085313573
267,298644.0568060886
268,2839030.182441004
269,303703.0502126884
270,1048637.4904228866
271,1113739.4711434506
272,132043.98867389202
273,518863.1383655
274,633221.8058774595
275,485417.269615371
276,1037531.362886561
277,291086.3017043824
278,495446.1644376819
279,1009752.5809401852
280,778529.9273637943
281,502993.5556955762
282,264319.35526625265
283,273309.4220766063
284,645305.682814227
285,809600.053912061
286,596593.4983852231
287,511864.9449101247
288,311275.04884359473
289,452016.69356042834
290,140248.54270703427
291,135880.13207726605
292,713599.285634907
293,285039.6903789248
294,489454.8105183004
295,737996.0782079282
296,816461.83197478
297,399988.3686056789
298,866745.772950714
299,490837.9980065517
300,452511.5378577207
301,418320.66778629815
302,428248.93388237065
303,837978.0108628927
304,952081.8574376823
305,406616.29560416105
306,1094681.4268927085
307,533490.1136346231
308,177832.50000854532
309,232779.92163609326
310,1392428.1993935616
311,1028870.9599043849
312,182093.84725815943
313,207404.90969189268
314,227935.57211708353
315,128836.41708701156
316,551560.3945503444
317,367608.32743964094
318,995577.8280276094
319,456849.4555795973
320,138922.52958242988
321,306326.8022671203
322,604343.9263499968
323,236711.60695960082
324,184413.20118188683
325,247470.74820787547
326,429615.02160997316
327,245248.5465000834
328,440510.3638444609
329,454364.35533799976
330,432653.47162589995
331,387655.93275429885
332,620973.4614135235
333,212125.86527835677
334,345644.46435976215
335,677177.2449852093
336,896508.7169221601
337,390291.8270725921
338,246833.6471483817
339,1040220.9314444597
340,662823.748891071
341,342954.02676435496
342,844173.8921314522
343,604288.2907665826
344,457857.6960902611
345,317680.1383155022
346,377105.4747955653
347,533229.039138105
348,777986.3212512089
349,386648.33892036485
350,799641.9591702358
351,465868.7512527037
352,528597.5771736735
